ANOUFIW	*)ANOUFI/W
KALLINIKW	KALLINI/KW|
ASTIKO	A)STIKO/
IERHMIAS	*(IERHMI/AS
QEODOSIA	
APOLLWS	*)APOLLW=S
PAULOS	*PAU=LOS
XRISTOFOROS	*XRISTOFO/ROS
MAQIAS	MAQI/AS
PAKOS	*PA/KOS
PILATOS	PILA/TOS
APOLLWN	A)PO/LLWN
BHSARION	*BHSA/RION
ISIDWROS	*)ISI/DWROS
SABINOS	*SABI=NOS
TEKTWN	TE/KTWN
XRISTOFORW	*XRISTOFO/RW|
EPIKO	E)PIKO/
BAFEO	BA/FEO
GNAFEO	GNA/FEO
SIMWN	
EKLHSI	
AUTOURGO	AU)TOURGO/
OUERSENOUFIS	*OU)ERSENOU/FIOS
ANQRWPW	A)NQRW/PW
ORIA	
ORIWN	O(RI/WN
SUNTINOUSAN	SUNTI/NOUSAN
ADELFO	A)DELFO/
STEFANOU	STEFA/NOU
RAPTH	R(APTH/
MAULWN	MAULW=|N
DIANN	DI/AN
WRIZONTWN	W)RIZO/NTWN
ENEPODISES	E)NEPO/DISES
USTERHSES	U(STE/RHSES
LITAS	LITA/S
PALAISTINE	*PALAISTINE/
ALUKO	A(LUKO/
XWRW	
ELEHMONOS	E)LEH/MONOS
EGENHQH	E)GENH/QH
TIN	TI/N
SUKO	SU=KO
WROUOGXIW	*(WROUOGXI/W
LEIYE	LEI=YE
KOMH	KO/MH
LO	LO
BOUTH	BOU/TH|
DAMASKW	*DAMASKW=
POLI	PO/LI
ASPRE	A)/SPRE
PETRW	PE/TRW
DIHRUGW	DIHRUGW=
#2	#2
DIANOMO	DIA/NOMO
MAQIN	*MAQI/N
EPONWS	E)PO/NWS
QERAPIA	QERA/PIA
GAGA	*GAGA=
ONN	
HRAKLEIOS	*(HRA/KLEIOS
KALLINIKOS	KALLI/NIKOS
IWANNIA	
LOUKANOS	
PROESTO	PROE/STO
EUSTAQIOS	*EU)STA/QIOS
ESOQ	ESOQ
OCAGGIOU	O)CAGGI/OU
OSO	O(/SO
